Fullname,Faculty/Org,Purpose,"Time In","Time Out"
"Gade Jade","Faculty of Engineering",aaaa,"2025-09-17 10:38:42","2025-09-17 11:41:01"
"Gade Jade","Faculty of Veterinary Medicine",jh,"2025-09-17 13:34:44","2025-09-17 16:57:09"
"Gade Jade","Faculty of Veterinary Medicine",aaa,"2025-09-23 11:40:45","2025-09-23 16:03:47"
"Deputy Director's Test",Technology,"To collect money","2026-01-15 14:51:18","2026-01-15 16:00:53"
"Testing testing","Faculty of Technology","Offical purpose","2026-01-19 14:03:27","2026-01-19 14:55:20"
"Peter Adewale","Faculty of Technology","To get somethign","2026-01-19 13:59:52","2026-01-19 14:55:36"
Taiwo,"Faculty of The Social Sciences","official purpose","2026-01-19 14:50:32","2026-01-19 14:56:58"
"Peter Tomiwa",Technology,"To make enquiries about nelfund support","2026-01-23 11:43:17","2026-01-23 11:48:36"
"Peter Adewale Tomiwa",Computing,"To make money","2026-01-15 16:38:21","2026-03-18 11:38:12"
"Fakunle Olufemi","Faculty of Technology","the purpose of visit is money","2026-01-19 13:59:15","2026-03-18 11:38:17"
Taiwo,"Faculty of Engineering","helloo fffffffffffffffffffff","2026-01-29 11:01:46","2026-03-18 11:38:20"
"Andrew Timmy","Faculty of Engineering","To play some more games","2026-03-18 10:33:18","2026-03-18 11:38:21"
"Peter Tomira","Faculty of Technology","To make enquiries about nelfund support","2026-01-23 11:45:34","2026-03-18 11:38:23"
"Peter Tomba","Faculty of Technology","to get something","2026-01-23 12:16:10","2026-03-18 11:38:25"
"Kunle Ibidun","Faculty of The Social Sciences","To see the games","2026-01-19 14:00:42","2026-03-18 11:38:27"
"Samuel Babatunde","Faculty of Veterinary Medicine","I would love to make enquiries about certain things","2026-01-23 09:22:56","2026-03-18 11:38:28"
"Suberu Afganistan","Faculty of Basic Medical Sciences","The purpose is to fly and soar and win","2026-03-18 13:49:12","2026-03-18 13:57:09"
"Olayinka Gbede","Eko Hotels","I am bringing a million dollars into the building","2026-03-18 14:30:21","2026-03-18 14:37:31"
"Olayinka Gbadamosi","Eko Hotels","TO fihcaknvasvadsbdb","2026-03-18 14:31:45","2026-03-18 14:38:23"
"Raphael Olayinka","Faculty of Technology","Bringing food to peter","2026-03-18 14:21:57","2026-03-18 14:38:29"
"Bruce Wayne","Faculty of Computing","To press computers and make money","2026-03-18 13:57:48","2026-03-18 14:38:38"
"Taiwo Aderibigbe","Faculty of Engineering","sssssssssssssssss sssssssssssssssssssssssssss","2026-03-18 13:29:48","2026-03-18 14:39:20"
"Peter Adewale","Faculty of Technology","to do something","2026-04-17 16:46:14","2026-04-17 16:46:56"
