ID,Name,"Person to See",Purpose,"Time In","Time Out"
1,dldwlc,"dcdc d",,dcdcdc,,"2025-07-17 00:49:30","2025-07-17 09:49:33",
2,"dc dc dcd",dcdcdc,,cdcdc,,"2025-07-17 00:50:06","2025-07-17 09:50:07",
3,sxnsx,sxsxs,,xsxsx,,"2025-07-17 01:51:38","2025-07-17 10:51:40",
4,sxsxs,xsxsx,,xsxsx,,"2025-07-17 01:51:50","2025-07-17 10:51:59",
5,xsxsx,sxsxs,,sxsxs,,"2025-07-17 01:51:56","2025-07-17 10:51:58",
6,sscscs,cscsc,,cscscs,,"2025-07-17 03:06:51","2025-07-17 12:06:54",
7,sjcnsc,sxsx,,sxsxs,,"2025-07-17 03:07:15","2025-07-17 12:07:17",
8,ssdsds,sdsds,,sdsdsd,,"2025-07-17 03:29:54","2025-07-17 12:29:56",
9,sdsdsd,dsdsd,,sdsdsd,,"2025-07-17 03:34:43","2025-07-17 12:34:44",
10,igg,yftyf,,ygy,,"2025-07-18 03:42:30","2025-07-18 12:43:06",
11,sxsxs,xsxs,1222212,dd,"Director's Office","0000-00-00 00:00:00",,2025-07-18
12,ssas,asas,1212121212,sdsdsd,"Director's Office","0000-00-00 00:00:00",,2025-07-18
13,sss,sdsd,7465453,owner,Bursary,"2025-07-18 06:50:47","2025-07-18 16:02:31",2025-07-18
14,sdsd,sdsd,12121212,sdsdsdsd,"Director's Office","0000-00-00 00:00:00",,2025-07-18
15,sssdsdsd,sdsdsdsd,21221212,sdsdsds,"Items Board Secretariat","0000-00-00 00:00:00",,2025-07-18
16,"Dele Ade",Items,08036435924,owner,"Items Board Secretariat","2016-08-19 00:00:00",,2025-07-18
17,"Gade Jade",dsds,1222212,owner,"ITeMS Board Secretariat","0000-00-00 00:00:00",,2025-07-18
18,"Gade Jade",sdsd,1222212,sdsdsd,"Director's Office","0000-00-00 00:00:00",,2025-07-18
19,"Gade Jade",sdsd,1222212,owner,"ITeMS Board Secretariat","2025-07-18 16:42:46","2025-07-18 16:59:59",2025-07-18
20,"Gade Jade",sdsd,1222212,owner,"ITeMS Board Secretariat","2025-07-18 16:57:56","2025-07-18 16:59:57",2025-07-18
21,"Gade Jade",sdsd,1222212,owner,"ITeMS Board Secretariat","2025-07-18 19:04:15","0000-00-00 00:00:00",2025-07-18
22,"Gade Jade",dcdcdc,12121221,owner,"Director's Office","2025-07-22 13:43:59","2025-07-22 16:34:03",2025-07-22
23,"Gade Jade",sdsd,1222212,owner,"ITeMS Board Secretariat","2025-07-22 15:39:15","2025-07-22 16:34:01",2025-07-22
